word,weight
sakti,24288
ikats,24288
katis,24288
takis,24288
tikas,24288
pegos,24286
oaked,24283
urges,24279
surge,24279
grues,24279
acred,24278
arced,24278
cedar,24278
raced,24278
cared,24278
cadre,24278
ecard,24278
penal,24277
panel,24277
plena,24277
plane,24277
boeps,24271
gazes,24269
ovens,24265
rubes,24264
rebus,24264
burse,24264
suber,24264
goads,24258
gadso,24258
dagos,24258
leman,24255
mebos,24249
mobes,24249
besom,24249
trefa,24244
afret,24244
after,24244
feart,24244
frate,24244
doabs,24243
leany,24241
ovals,24240
salvo,24240
trona,24239
rotan,24239
toran,24239
orant,24239
hajes,24237
bosey,24235
obeys,24235
syboe,24235
chose,24225
oches,24225
echos,24225
aruhe,24217
slued,24216
sherd,24216
ludes,24216
herds,24216
shred,24216
duels,24216
leuds,24216
dules,24216
dulse,24216
nerfs,24206
ferns,24206
cents,24205
scent,24205
tapen,24204
lawer,24204
paten,24204
waler,24204
mahoe,24202
poire,24198
tozes,24196
sixer,24195
manet,24182
mante,24182
menta,24182
meant,24182
ament,24182
farls,24181
larfs,24181
zaire,24181
clats,24180
clast,24180
talcs,24180
moire,24176
lifes,24175
flies,24175
files,24175
spoke,24175
liefs,24175
pokes,24175
noils,24170
oslin,24170
radio,24170
aroid,24170
percs,24170
loins,24170
lions,24170
linos,24170
gains,24170
signa,24170
creps,24170
yenta,24168
vatos,24167
nabis,24155
basin,24155
sabin,24155
